year,geo_name,geo,avg_wage,avg_wage_moe
2014,Brevard County (Southwest)--Melbourne & West Melbourne Cities PUMA,79500US1200903,78570.7,19893.2
2014,"Coral Springs & Parkland Cities PUMA, FL",79500US1201101,53183,24580.3
2014,Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA,79500US1201104,144402,104960
2014,"Tamarac, Oakland Park & North Lauderdale Cities PUMA, FL",79500US1201105,53183.4,12305.4
2014,"Plantation & Sunrise Cities PUMA, FL",79500US1201106,59187.7,8566.97
2014,"Fort Lauderdale City (Central) PUMA, FL",79500US1201108,84627.9,34644.5
2014,Broward County (Central)--Davie Town & Cooper City PUMA,79500US1201110,62850.5,32722.7
2014,"Weston, Pembroke Pines (Northwest) Cities & Southwest Ranches Town PUMA, FL",79500US1201111,89777.7,20906.8
2014,Broward County (South Central)--Miramar (West) & Pembroke Pines (Southwest) Cities PUMA,79500US1201112,112962,63961.7
2014,Broward County (Southeast)--Hollywood (South) & Pembroke Pines (East) Cities PUMA,79500US1201113,60702.5,28753
2014,"Charlotte County PUMA, FL",79500US1201500,69234.5,34629.5
2014,Duval County (Northwest Central)--Jacksonville City (Northwest) PUMA,79500US1203102,55935.9,26035.9
2014,"Jacksonville City (Beaches) PUMA, FL",79500US1203104,56276.3,23460.8
2014,Duval County (Southeast)--Jacksonville City (Southeast) PUMA,79500US1203105,81074.7,22153.8
2014,Duval County (South Central)--Jacksonville City (Southeast River) PUMA,79500US1203106,81673,25300.8
2014,"Jacksonville City (Southwest) PUMA, FL",79500US1203107,52286.9,21409.8
2014,"Escambia County (South) PUMA, FL",79500US1203302,62712,9435.67
2014,"Tampa City (Central) PUMA, FL",79500US1205701,51409.9,7700.58
2014,"Tampa City (South) PUMA, FL",79500US1205702,105912,34033.3
2014,"Hillsborough County (Northwest) PUMA, FL",79500US1205703,86553.2,19003.7
2014,"Hillsborough County (North Central) PUMA, FL",79500US1205704,65535.5,28947.7
2014,"Tampa City (North) PUMA, FL",79500US1205705,63531.2,17089.2
2014,"Hillsborough County (Central) PUMA, FL",79500US1205707,75572.5,10808.3
2014,"Hillsborough County (South County) PUMA, FL",79500US1205708,115901,39986.8
2014,"Apalachee Region (Outside Leon County) PUMA, FL",79500US1206300,88907.8,27903.9
2014,"Cape Coral City PUMA, FL",79500US1207102,63095,20215.2
2014,"Leon County (Outer) PUMA, FL",79500US1207300,71547.2,14327.7
2014,"Tallahassee City (Central) PUMA, FL",79500US1207301,60585.9,19397.1
2014,Manatee County (North) PUMA,79500US1208101,71885,19002.7
2014,Manatee County (South) PUMA,79500US1208103,103861,49468.7
2014,"Martin County PUMA, FL",79500US1208500,91862.1,48828.2
2014,Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA,79500US1208604,58965.9,27782
2014,"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA",79500US1208608,79911.8,39375.1
2014,Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA,79500US1208612,112810,76294.8
2014,Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA,79500US1208614,130854,79008.6
2014,"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA",79500US1208616,100517,55275.8
2014,"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA",79500US1208621,66482.8,25806.6
2014,"Okaloosa County PUMA, FL",79500US1209100,79029.4,14642.5
2014,"Orange County (West Central)--Winter Garden, Ocoee Cities & Oakland Town PUMA",79500US1209502,61640.1,19157.3
2014,Orange County (Southwest)--Disney-International Drive Region PUMA,79500US1209503,88646.6,21518.7
2014,"Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle PUMA",79500US1209504,60642.6,36276.3
